,0,1,2,3,4,5,6,7,8,9,10,11,12
Tripoli,High,High,Moderate,High,High,High,Moderate,Moderate,Moderate,High,High,High,High
Tbilisi,Low,Moderate,Very Low,Very Low,Very Low,Low,Low,Low,Low,Low,Low,Low,Low
Ufa,High,High,Moderate,Moderate,Moderate,Moderate,Moderate,High,Low,High,High,Moderate,Very High
Mexicali,High,High,High,High,High,High,Moderate,Low,Low,High,High,High,High
Salt-Lake-City,Low,Moderate,Low,Low,Low,Moderate,Low,Low,Very Low,Moderate,Moderate,Low,Low
Copenhagen,Low,Moderate,Low,Low,Very Low,Low,Low,Low,Very Low,Low,Low,Low,Very Low
Cologne,Moderate,High,Moderate,Moderate,Low,Moderate,Moderate,Moderate,Low,Moderate,Moderate,Low,Low
Krasnoyarsk,Moderate,Moderate,Low,Low,Low,Moderate,Moderate,Moderate,Low,Moderate,Moderate,Low,Very High
Nashville,Moderate,High,Moderate,Moderate,Low,Moderate,Moderate,Moderate,Low,Moderate,Moderate,Moderate,Low
Yerevan,Very Low,Moderate,Low,Very Low,Very Low,Low,Very Low,Low,Very Low,Very Low,Low,Very Low,Moderate
Ranchi,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Moderate,Moderate,High
Richmond,Moderate,Moderate,Low,Moderate,Low,Moderate,Low,Low,Low,Moderate,High,Moderate,Low
San-Pedro-Sula,Very High,Very High,High,Very High,High,High,High,High,Moderate,Very High,Very High,Very High,Very High
Memphis,Very High,High,High,High,High,High,High,High,High,Very High,High,High,High
Edmonton,Moderate,High,Low,Low,Low,Moderate,Low,Low,Low,Moderate,Moderate,Moderate,Low
Sendai,Very Low,Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Low,Very Low,Very Low,Very Low,Low
Voronezh,Low,Moderate,Low,Low,Low,Moderate,Moderate,Low,Low,Moderate,Moderate,Low,Very High
Perm,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Moderate,Moderate,Low,Moderate,Moderate,Low,High
Raleigh,Low,High,Low,Low,Low,Moderate,Low,Low,Low,Low,Low,Low,Low
Cartagena,High,High,Moderate,High,Moderate,High,Moderate,Moderate,Low,Moderate,Moderate,High,High
Chandigarh,Moderate,High,Moderate,Moderate,Moderate,Moderate,Low,Low,Low,Moderate,Moderate,Moderate,Moderate
Bishkek,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Very High
Amsterdam,Low,Moderate,Low,Low,Low,Low,Low,Low,Low,Moderate,Moderate,Low,Low
Ashgabat,Low,Low,Low,Low,Low,Low,Low,Moderate,Low,Moderate,Moderate,Low,High
Managua,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Moderate,Low,Very Low,Moderate,Moderate,Moderate,High
New-Orleans,High,High,Moderate,High,Moderate,High,Moderate,Moderate,Moderate,High,High,High,High
Port-au-prince,Very High,High,High,High,Moderate,High,High,Low,Low,High,Very High,Very High,Very High
Mysore,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Moderate,Moderate,High
Odesa,Moderate,High,Moderate,Moderate,Moderate,High,Moderate,Moderate,Low,Moderate,High,Moderate,Very High
Kathmandu,Low,Moderate,Moderate,Low,Low,Low,Low,Low,Very Low,Moderate,Moderate,Low,Very High
Raipur,Low,Moderate,Low,Low,Low,Low,Low,Low,Very Low,Low,Low,Low,High
Nice,High,High,High,High,High,High,High,High,High,High,High,High,High
Rotterdam,Moderate,Moderate,Low,Low,Low,Low,Low,Low,Low,Moderate,Moderate,Low,Low
Louisville,High,High,Moderate,Moderate,Low,Moderate,Moderate,Moderate,Low,High,Moderate,Moderate,Moderate
Abu-Dhabi,Very Low,Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Low
Stockholm,Moderate,High,Low,Moderate,Low,Moderate,Moderate,Moderate,Low,Moderate,Moderate,Moderate,Low
Ottawa,Low,Moderate,Low,Very Low,Very Low,Low,Low,Low,Very Low,Moderate,Low,Low,Low
Jerusalem,Low,Moderate,Low,Low,Low,Low,Moderate,Low,Moderate,Low,Low,Low,Moderate
Panama-City,Moderate,High,Moderate,Moderate,Low,Moderate,Low,Low,Very Low,Moderate,Moderate,Moderate,High
Zagreb,Very Low,Moderate,Very Low,Very Low,Very Low,Low,Very Low,Very Low,Very Low,Low,Low,Very Low,High
Dushanbe,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Very High
Lilongwe,Moderate,High,High,Moderate,Moderate,High,Low,Low,Very Low,Very Low,Moderate,Moderate,Very High
Vientiane,Low,High,Moderate,Low,Low,Low,Very Low,Very Low,Very Low,Low,Moderate,Low,Very High
Colombo,Low,Moderate,Moderate,Low,Low,Low,Low,Moderate,Low,Moderate,Moderate,Low,High
Kigali,Low,Moderate,Low,Low,Very Low,Low,Very Low,Very Low,Very Low,Low,Low,Low,Low
Pretoria,Very High,Very High,Very High,Very High,Very High,Very High,High,High,High,High,Very High,Very High,Very High
Winnipeg,High,High,Moderate,Moderate,Moderate,High,Moderate,Moderate,Low,High,High,Moderate,Moderate
Quebec-City,Very Low,Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Low,Low,Very Low,Low
Riga,Low,Moderate,Low,Low,Low,Moderate,Low,Low,Low,Moderate,Moderate,Low,High
Oslo,Low,High,Low,Low,Low,Low,Low,Low,Low,Moderate,Moderate,Low,Low
Chisinau,Moderate,Moderate,Low,Low,Low,Moderate,Moderate,Moderate,Low,Low,Moderate,Low,Very High
Athens,Moderate,High,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Low,High,High,Moderate,High
Helsinki,Low,Moderate,Very Low,Low,Very Low,Low,Low,Low,Low,Low,Low,Low,Very Low
Skopje,Moderate,High,Moderate,Low,Low,Moderate,Moderate,Low,Moderate,Moderate,Moderate,Low,Very High
Kuwait-City,Low,Moderate,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Moderate
Kingston,Low,Moderate,Low,Very Low,Very Low,Low,Low,Low,Very Low,Moderate,Low,Low,Low
Vilnius,Low,Low,Low,Low,Very Low,Low,Low,Low,Very Low,Low,Low,Low,Moderate
San-Salvador,Very High,High,High,High,High,High,High,Moderate,Low,High,High,Very High,Very High
Lisbon,Low,Moderate,Low,Low,Low,Low,Low,Low,Very Low,Low,Low,Low,Moderate
Kitchener,Moderate,High,Low,Low,Low,Moderate,Low,Low,Very Low,Moderate,Moderate,Low,Low
Tallinn,Low,Low,Very Low,Very Low,Very Low,Low,Low,Low,Very Low,Low,Low,Very Low,Low
Cape-Town,Very High,Very High,High,High,High,High,High,Moderate,Moderate,High,High,Very High,Very High
Bratislava,Low,Moderate,Low,Low,Low,Low,Low,Low,Low,Low,Moderate,Very Low,High
Tirana,Moderate,Moderate,Low,Low,Low,Low,Low,Low,Very Low,Moderate,Moderate,Low,Very High
Canberra,Very Low,Moderate,Low,Very Low,Very Low,Low,Very Low,Low,Very Low,Low,Low,Very Low,Very Low
Wellington,Low,Moderate,Low,Very Low,Low,Low,Low,Low,Low,Moderate,Low,Low,Very Low
Beirut,Moderate,High,Low,Moderate,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Moderate,Moderate,Very High
Halifax,Moderate,High,Low,Low,Low,Moderate,Low,Low,Very Low,Moderate,Moderate,Moderate,Low
Port-Moresby,Very High,Very High,High,Very High,Very High,Very High,High,High,High,High,Very High,Very High,Very High
Victoria,Low,High,Low,Low,Low,Moderate,Low,Low,Very Low,High,Moderate,Low,Low
Maseru,Moderate,High,Moderate,High,High,High,High,Moderate,Moderate,High,High,High,Very High
Nicosia,Low,High,Low,Low,Low,Low,Very Low,Low,Low,Low,Low,Low,Moderate
Windhoek,High,Very High,High,High,Moderate,High,High,Moderate,Moderate,High,High,High,Very High
Ljubljana,Very Low,Moderate,Very Low,Very Low,Very Low,Low,Very Low,Very Low,Very Low,Low,Low,Very Low,Moderate
Sarajevo,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Low,Low,Low,Moderate,Moderate,Moderate,High
Nassau,High,High,High,High,High,High,Moderate,Moderate,Low,Moderate,High,High,High
Bloemfontein,High,Very High,High,High,High,High,High,High,High,High,Very High,High,Very High
Gaborone,Moderate,Very High,High,High,Moderate,High,Moderate,Low,Very Low,Moderate,High,Moderate,Moderate
Paramaribo,Moderate,High,Moderate,Moderate,Low,High,Moderate,Low,Low,Moderate,Moderate,Moderate,Very High
Dili,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Low,Low,Low,Low,Moderate,Moderate,High
Pristina,Low,Moderate,Low,Very Low,Low,Low,Very Low,Very Low,Very Low,Moderate,Moderate,Low,High
Georgetown,Very High,High,High,High,Moderate,High,High,Moderate,Moderate,High,High,Very High,Very High
Brussels,Moderate,High,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Low,Moderate,High,Moderate,Low
Male,High,High,High,High,Moderate,Moderate,High,High,Low,Very High,High,High,Very High
Podgorica,Moderate,High,Moderate,Moderate,Low,Moderate,Low,Moderate,Moderate,Moderate,Moderate,Moderate,High
Manama,Very Low,Moderate,Very Low,Very Low,Very Low,Low,Low,Low,Low,Low,Low,Very Low,Moderate
Port-Louis,High,High,High,High,Moderate,High,High,Low,Low,High,High,High,High
Bern,Very Low,Moderate,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Low,Low,Very Low,Very Low
Reykjavik,Very Low,Moderate,Low,Very Low,Very Low,Low,Very Low,Very Low,Very Low,Low,Low,Very Low,Low
Luxembourg,Low,Moderate,Low,Low,Low,Low,Low,Low,Very Low,Moderate,Low,Very Low,Low
Bridgetown,Moderate,High,Low,Low,Low,Low,Low,Low,Low,Moderate,Low,Moderate,Moderate
Suva,Moderate,High,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Moderate,Moderate,High
Bandar-Seri-Begawan,Low,Moderate,Moderate,Low,Low,Low,Low,Very Low,Very Low,Low,Moderate,Very Low,Low
Monaco,Low,Moderate,Low,Very Low,Low,Very Low,Very Low,Very Low,Very Low,Low,Very Low,Very Low,Low
Port-Of-Spain,Very High,Very High,High,High,High,High,High,High,Low,High,High,Very High,Very High
Saint-John's,Moderate,High,Moderate,Low,Low,Moderate,Low,Low,Very Low,High,Moderate,Moderate,Low
Andorra-La-Vella,Very Low,Moderate,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Low,Very Low,Very Low,Very Low
Belmopan,Moderate,High,Moderate,Moderate,Very Low,Low,Low,Low,Very Low,Moderate,Moderate,Moderate,Very High
Basseterre,Low,Low,Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Low,Low,Low
Valletta,Low,High,Low,Low,Low,Low,Low,Low,Low,Moderate,Low,Low,High
Jodhpur,Low,Moderate,Low,Low,Low,Low,Low,Low,Very Low,Low,Low,Low,High
Glasgow,Moderate,Moderate,Low,Low,Low,Low,Moderate,Moderate,Low,High,Moderate,Moderate,Low
Natal,Very High,Very High,High,Very High,Very High,Very High,High,Moderate,Low,High,Very High,Very High,Very High
Naples,High,Moderate,Moderate,High,High,High,Moderate,Moderate,Low,High,High,High,High
Oklahoma-City,Moderate,High,Moderate,Moderate,Low,Moderate,Low,Low,Low,High,Moderate,Moderate,Moderate
Toulouse,Moderate,High,Moderate,Moderate,Low,Moderate,Moderate,Moderate,Low,Moderate,Moderate,Low,Low
Coimbatore,Low,Moderate,Moderate,Moderate,Moderate,Moderate,Low,Low,Low,Low,Moderate,Low,High
Guwahati,Moderate,High,Moderate,Moderate,Moderate,Moderate,Low,Low,Very Low,Moderate,Moderate,Moderate,High
Tangier,Moderate,High,Low,High,Moderate,Moderate,Moderate,Moderate,Low,High,Moderate,Moderate,High
Aguascalientes,Low,Moderate,Moderate,Low,Low,Moderate,Low,Low,Very Low,Low,Moderate,Low,Moderate
Marrakech,Moderate,Moderate,Low,Moderate,Low,Low,Low,Moderate,Low,Moderate,Moderate,Low,High
Buffalo,Moderate,Moderate,Low,Low,Low,Moderate,Low,Low,Low,Moderate,Moderate,Moderate,Moderate
Fort-Worth,Moderate,High,Moderate,Low,Low,Moderate,Low,Low,Low,Moderate,Moderate,Moderate,Low
Hartford,High,High,High,High,High,High,Moderate,Moderate,Moderate,High,High,High,Moderate
Ad-Dammam,Low,Moderate,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Moderate
Merida,Low,Moderate,Low,Low,Very Low,Low,Low,Very Low,Very Low,Low,Low,Low,Moderate
Hubli,High,High,Moderate,Moderate,Low,Low,Moderate,Moderate,Low,Moderate,Moderate,Moderate,High
Tucson,High,High,Moderate,Moderate,Moderate,Moderate,Moderate,Low,Low,High,High,Moderate,Moderate
Krasnodar,Low,Moderate,Low,Low,Low,Moderate,Low,Low,Very Low,Low,Low,Low,High
Chihuahua,High,High,High,High,Moderate,High,High,Low,Low,High,Moderate,High,Very High
Klang,High,High,High,High,High,High,High,Moderate,Moderate,High,High,High,High
Turin,Moderate,High,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Low,High,Moderate,Moderate,High
Jalandhar,High,High,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Low,High,High,Moderate,Very High
Marseille,High,High,Moderate,Moderate,Moderate,High,Moderate,High,Low,High,High,High,High
Eskisehir,Very Low,Low,Low,Low,Very Low,Very Low,Low,Very Low,Very Low,Low,Low,Very Low,Low
Liverpool,Moderate,Moderate,Moderate,Low,Low,Moderate,Low,Moderate,Low,High,Moderate,Moderate,Low
Southampton,Moderate,High,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Low,High,Moderate,Moderate,Low
Portsmouth,Moderate,High,Moderate,Moderate,Low,Moderate,Moderate,Moderate,Low,High,Moderate,Moderate,Low
Omaha,Moderate,High,Moderate,Low,Low,Moderate,Low,Low,Low,Moderate,Moderate,Moderate,Low
Saratov,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Moderate,High,Low,Moderate,Moderate,Very Low,Very High
El-Paso,Low,Moderate,Low,Low,Low,Low,Low,Low,Very Low,Moderate,Low,Low,Low
San-Luis-Potosi,High,Very High,Moderate,Moderate,Moderate,High,Moderate,Low,Very Low,Moderate,Moderate,Moderate,Very High
Toluca,High,High,Moderate,High,High,High,High,Moderate,Low,Moderate,High,High,Very High
Honolulu,Moderate,High,Low,Low,Low,Moderate,Low,Low,Low,Moderate,Moderate,Moderate,Moderate
Queretaro,Low,High,Low,Low,Low,Moderate,Low,Very Low,Very Low,Low,Moderate,Low,High
Hermosillo,Moderate,High,Moderate,Moderate,Moderate,Moderate,Low,Very Low,Very Low,Moderate,High,Moderate,High
Taguig-City,Moderate,Moderate,Moderate,High,Moderate,Moderate,Moderate,Moderate,Low,High,High,High,High
Saltillo,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Low,Low,Very Low,Moderate,Moderate,Moderate,High
Joao-Pessoa,High,High,Moderate,High,Moderate,High,Moderate,Moderate,Low,High,High,Very High,Very High
Culiacan,Very High,High,High,High,High,High,High,Moderate,Low,High,High,High,Very High
Nottingham,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Moderate,Moderate,Low,High,Moderate,Moderate,Low
Albuquerque,Very High,Very High,High,Moderate,High,High,Moderate,Moderate,Low,Very High,Very High,High,High
Frankfurt,Moderate,High,Low,Low,Low,Low,Moderate,Moderate,Low,High,Moderate,Low,Low
Pietermaritzburg,Very High,Very High,High,Very High,High,High,High,High,High,High,Very High,Very High,Very High
Kolhapur,Low,Low,Low,Low,Very Low,Very Low,Low,Very Low,Very Low,Very Low,Low,Low,Moderate
Thiruvananthapuram,Low,High,Low,Low,Low,Low,Low,Low,Low,Moderate,Moderate,Low,Moderate
Cancun,Moderate,High,Moderate,Moderate,Moderate,Moderate,Moderate,Low,Low,High,Moderate,Moderate,High
Rennes,Moderate,Very High,Moderate,Moderate,Low,Moderate,Moderate,Moderate,Low,High,Moderate,Moderate,Low
Bristol,Moderate,High,Low,Low,Low,Low,Low,Moderate,Low,High,Moderate,Low,Low
Lviv,Low,High,Moderate,Low,Low,Moderate,Low,Low,Low,Low,Moderate,Low,Very High
Bremen,Moderate,High,Moderate,Low,Low,Moderate,Low,Moderate,Very Low,Moderate,Moderate,Low,Very Low
Mississauga,Moderate,High,Moderate,Low,Low,Moderate,Low,Low,Low,Moderate,Moderate,Moderate,Low
George-Town,Low,High,Low,Low,Low,Moderate,Very Low,Low,Very Low,Low,Low,Low,High
Rochester,High,High,Moderate,Moderate,Moderate,High,Moderate,Moderate,Moderate,High,High,High,Moderate
Fresno,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Low,High,High,Moderate,Moderate
Grenoble,Moderate,High,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Moderate,Moderate,Moderate
Hamilton,Moderate,High,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Low,High,High,Moderate,Moderate
Lodz,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Low,Moderate
Sheffield,Moderate,High,Moderate,Moderate,Low,Low,Low,Moderate,Low,Moderate,Moderate,Low,Low
Kochi,Low,Moderate,Low,Low,Low,Low,Low,Low,Low,Moderate,Moderate,Low,High
Allentown,High,Very High,High,High,High,High,High,High,High,Very High,High,High,High
Gold-Coast,Moderate,High,Moderate,Low,Low,Moderate,Low,Low,Low,Moderate,Moderate,Moderate,Low
Palermo,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Low,Low,Very Low,Moderate,Moderate,Moderate,Very High
Tulsa,High,High,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Low,Moderate,High,Moderate,Moderate
Ribeirao-Preto,High,High,High,High,High,High,Moderate,Moderate,Low,High,High,Very High,Very High
As-Sulaymaniyah,Low,Moderate,Low,Very Low,Low,Low,Low,Very Low,Very Low,Low,Low,Low,Moderate
Durango,Moderate,Low,Moderate,Moderate,Low,Moderate,Low,Low,Low,Moderate,Moderate,Moderate,High
Bulawayo,High,Very High,High,Moderate,Moderate,High,Moderate,Moderate,Moderate,Moderate,High,Moderate,Very High
Izhevsk,Low,Low,Low,Low,Low,Moderate,Low,Low,Very Low,Moderate,Moderate,Low,High
Petaling-Jaya,Moderate,High,Moderate,Moderate,Moderate,High,Moderate,Moderate,Low,Moderate,Moderate,Moderate,High
Utrecht,Low,Moderate,Low,Very Low,Very Low,Low,Low,Low,Low,Low,Low,Low,Very Low
Colorado-Springs,Moderate,High,Moderate,Low,Low,Moderate,Low,Low,Very Low,Moderate,Moderate,Moderate,Low
Valenzuela,Low,Low,Moderate,Moderate,Low,Low,Low,Low,Very Low,Moderate,Moderate,Low,Low
Wroclaw,Low,Moderate,Low,Low,Low,Low,Low,Low,Low,Low,Moderate,Very Low,Moderate
Nantes,High,Very High,Moderate,High,Moderate,Moderate,Moderate,Moderate,Low,High,High,Moderate,Low
Stuttgart,Low,High,Low,Low,Very Low,Low,Low,Low,Low,Low,Low,Low,Low
Cochabamba,High,High,Moderate,High,High,High,High,Moderate,Low,High,High,High,Very High
Mangalore,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
Springfield,High,Very High,Moderate,Moderate,Moderate,High,Moderate,Moderate,Low,Very High,High,High,Moderate
Dusseldorf,Low,Moderate,Low,Low,Low,Low,Low,Low,Low,Moderate,Moderate,Low,Very Low
Buraydah,Very Low,Low,Low,Very Low,Low,Low,Very Low,Low,Very Low,Very Low,Very Low,Very Low,Very Low
Montpellier,High,Very High,Moderate,Moderate,Moderate,Moderate,Moderate,High,Moderate,High,High,Moderate,Moderate
Grand-Rapids,Moderate,High,Low,Low,Low,Moderate,Low,Low,Very Low,Moderate,Moderate,Moderate,Low
Vladivostok,Moderate,Low,Low,Moderate,Low,Low,Moderate,Moderate,Low,Moderate,Moderate,Low,High
Gothenburg,Moderate,High,Low,Moderate,Low,Moderate,Moderate,Moderate,Low,Moderate,Moderate,Moderate,Low
Durban,Very High,Very High,Very High,Very High,Very High,High,High,High,High,High,Very High,Very High,Very High
Brampton,High,High,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Low,High,Moderate,Moderate,Moderate
Dortmund,Moderate,High,Moderate,Moderate,Low,Low,Moderate,Moderate,Low,Moderate,Moderate,Moderate,Low
Shah-Alam,High,High,High,High,Moderate,High,Moderate,Moderate,Low,Moderate,High,Moderate,High
Knoxville,Moderate,High,Low,Moderate,Low,Moderate,Moderate,Moderate,Low,Moderate,Moderate,Moderate,Low
Essen,Moderate,High,Moderate,Moderate,Low,Moderate,Moderate,Moderate,Low,High,Moderate,Moderate,Moderate
Genoa,Moderate,High,Moderate,Low,Low,Moderate,Low,Low,Low,Moderate,Moderate,Low,High
Bakersfield,High,High,Moderate,Moderate,Moderate,High,Moderate,Moderate,Moderate,Very High,High,Moderate,Moderate
Malaga,Low,Moderate,Low,Low,Low,Low,Low,Low,Very Low,Low,Low,Low,Moderate
Tomsk,Moderate,Moderate,Low,Low,Low,Moderate,Moderate,Moderate,Low,Moderate,Moderate,Low,High
Kingston-Upon-Hull,Moderate,High,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Low,High,High,Moderate,Low
Baton-Rouge,High,High,Moderate,High,Moderate,High,High,Moderate,Moderate,High,High,High,High
Pereira,Low,Low,Low,Low,Low,Low,Low,Low,Very Low,Moderate,Low,Moderate,Moderate
Bacolod,Moderate,Moderate,High,Moderate,Moderate,Moderate,Moderate,Moderate,Low,Moderate,High,Moderate,High
Columbia,Moderate,High,Moderate,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Moderate,Moderate,Moderate,Moderate
Dresden,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
Leipzig,Moderate,High,Moderate,Low,Low,Low,Moderate,Moderate,Low,Moderate,High,Low,Very Low
Poznan,Low,Moderate,Low,Low,Low,Low,Low,Low,Low,Low,Moderate,Very Low,Moderate
Antwerp,Low,Moderate,Low,Low,Low,Moderate,Low,Low,Low,Moderate,Moderate,Low,Low
Ensenada,Low,Moderate,Low,Low,Low,Moderate,Low,Low,Very Low,Moderate,Moderate,Low,Moderate
Lyon,Moderate,High,Moderate,Moderate,Low,Moderate,Moderate,Moderate,Low,Moderate,Moderate,Moderate,Low
Nuremberg,Low,High,Low,Low,Very Low,Low,Low,Low,Low,Moderate,Moderate,Low,Low
Surrey,High,High,Moderate,Moderate,Moderate,High,Moderate,High,Moderate,Very High,High,High,Moderate
Leicester,Moderate,High,Moderate,Moderate,Low,Low,Moderate,Moderate,Low,Moderate,Moderate,Low,Low
Jammu,Low,Moderate,Moderate,Low,Low,Low,Low,Low,Low,Moderate,Moderate,Low,High
Mazatlan,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Low,Low,Moderate,High,Moderate,High
Niteroi,Very High,Very High,Moderate,High,High,Moderate,Moderate,Low,Very Low,High,High,Very High,Very High
Johor-Bahru,High,Moderate,Moderate,Moderate,High,High,Moderate,Moderate,Low,Moderate,High,Moderate,High
Kota-Bharu,Moderate,Moderate,High,High,High,Very High,Moderate,Moderate,Low,Very High,Moderate,Moderate,Low
Edinburgh,Low,Moderate,Low,Low,Low,Low,Low,Low,Very Low,Moderate,Moderate,Low,Low
Belgaum,Moderate,High,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Low,Low,Moderate,Moderate,High
Greenville,Moderate,Moderate,Low,Low,Low,Moderate,Low,Low,Very Low,Moderate,Moderate,Moderate,Moderate
Wichita,High,High,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Low,High,Moderate,Moderate,Moderate
Florianopolis,High,High,Moderate,Moderate,Moderate,High,Moderate,Low,Very Low,Moderate,Moderate,Moderate,High
Kaliningrad,Low,Moderate,Low,Low,Low,Low,Low,Low,Very Low,Low,Low,Very Low,High
San-Juan,Very High,High,High,High,High,High,High,Moderate,Low,Very High,High,High,Very High
Des-Moines,Moderate,High,Moderate,Low,Low,Moderate,Low,Low,Very Low,Moderate,Moderate,Moderate,Moderate
Celaya,Very High,Very High,High,Very High,High,Very High,High,High,Moderate,Very High,Very High,Very High,Very High
Strasbourg,Low,High,Low,Low,Very Low,Low,Low,Low,Low,Moderate,Moderate,Low,Very Low
Gdansk,Low,Moderate,Low,Low,Low,Low,Low,Low,Low,Low,Moderate,Low,Moderate
Long-Beach,High,High,Moderate,Moderate,Moderate,High,Moderate,Moderate,Low,High,High,Moderate,Moderate
Sfax,Low,Moderate,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Moderate
Iloilo,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Low,Low,Moderate,Moderate,Moderate,Moderate
Kota-Kinabalu,Moderate,High,Moderate,Moderate,Moderate,Moderate,Moderate,Low,Very Low,Moderate,High,Moderate,High
Madison,Low,High,Low,Low,Low,Low,Low,Low,Low,Moderate,Moderate,Low,Low
Reno,Moderate,High,Moderate,Low,Moderate,Moderate,Low,Moderate,Low,Moderate,Moderate,Moderate,Low
Little-Rock,High,High,Moderate,Moderate,Moderate,High,Moderate,Moderate,Moderate,High,High,High,Moderate
Zurich,Very Low,Moderate,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Low,Low,Very Low,Very Low
Santos,High,High,Low,High,Moderate,Moderate,Moderate,Low,Very Low,Moderate,Moderate,High,High
Yogyakarta,Low,Moderate,Moderate,Moderate,Moderate,Moderate,Low,Low,Low,Low,Moderate,Low,High
Oakland,High,Moderate,High,High,Moderate,High,Moderate,Moderate,Low,High,High,High,Moderate
Sevastopol,Low,Moderate,Low,Low,Low,Moderate,Low,Low,Low,Moderate,Moderate,Low,Moderate
Agadir,Low,Moderate,Low,Moderate,Low,Moderate,Low,Low,Very Low,Low,Low,Low,High
Durham,High,High,Moderate,Moderate,Low,Moderate,Moderate,High,Moderate,High,High,High,Moderate
Laval,Moderate,High,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Low,High,Moderate,Moderate,High
Chattanooga,High,High,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,High,Moderate,Moderate
Spokane,High,Very High,Moderate,Low,Moderate,High,Moderate,Moderate,Low,High,High,Moderate,Low
Murcia,Low,High,Low,Low,Low,Low,Low,Low,Very Low,Moderate,Low,Low,Moderate
Szczecin,Low,Low,Low,Very Low,Low,Moderate,Low,Low,Low,Low,Moderate,Very Low,Low
Eindhoven,Low,Moderate,Low,Very Low,Very Low,Low,Very Low,Low,Very Low,Low,Low,Very Low,Very Low
Stockton,Very High,High,High,High,High,Very High,High,High,High,Very High,Very High,Very High,Moderate
Nha-Trang,Moderate,Moderate,Low,Moderate,Low,Low,Moderate,Moderate,Low,High,Low,Low,High
Bologna,Moderate,High,Moderate,Moderate,Low,Moderate,Moderate,Moderate,Very Low,Moderate,High,Low,Moderate
Caxias-Do-Sul,High,High,Moderate,High,High,High,Moderate,Low,Low,Moderate,High,High,High
Boise,Low,High,Low,Low,Low,Moderate,Low,Low,Low,Moderate,Moderate,Low,Low
Plovdiv,Low,Moderate,Low,Low,Low,Low,Low,Low,Low,Low,Moderate,Very Low,High
Florence,Low,High,Moderate,Low,Low,Moderate,Low,Low,Low,Moderate,Moderate,Low,Moderate
Las-Palmas,Very Low,Moderate,Low,Low,Low,Low,Very Low,Low,Very Low,Low,Low,Very Low,Moderate
Modesto,High,High,High,Moderate,High,High,Moderate,Moderate,Low,Very High,High,High,Moderate
Brno,Very Low,Moderate,Very Low,Low,Low,Low,Low,Low,Very Low,Low,Moderate,Very Low,Moderate
